John Norman  Abelson
Sankar L.  Adhya
Julius  Adler
David A.  Agard
Bruce Michael  Alberts
Sidney  Altman
David Matthew  Altshuler
Bruce N.  Ames
Richard  Axel
David  Baker
Tania Ann  Baker
Robert Lesh  Baldwin
David  Baltimore
Brenda L.  Bass
Adriaan  Bax
Philip  Beachy
Jonathan Roger  Beckwith
Marlene  Belfort
Howard C.  Berg
James M.  Berger
Shelley L.  Berger
Arnold J.  Berk
Elizabeth  Blackburn
Steven M.  Block
Jef D.  Boeke
Michael R.  Botchan
Henry Reid  Bourne
Herbert Wayne  Boyer
Paul Delos  Boyer
Winslow Russell  Briggs
Gene M.  Brown
Joan S.  Brugge
Carlos J.  Bustamante
Allan McCulloch  Campbell
Lewis Clayton  Cantley
Charles R.  Cantor
John Anthony  Carbon
Marvin Harry  Caruthers
Donald L. D.  Caspar
Thomas Robert  Cech
Michael John  Chamberlin
G. Marius  Clore
Carolyn  Cohen
Fred E.  Cohen
Stanley  Cohen
Stanley Norman  Cohen
Seymour Stanley  Cohen
Melvin  Cohn
Joan W.  Conaway
Ronald C.  Conaway
Minor Jesser  Coon
Donald Lee  Court
Elizabeth A.  Craig
Nancy L.  Craig
Carlo M.  Croce
James E.  Dahlberg
Jr. James Edwin  Darnell
Earl W.  Davie
David R.  Davies
William F.  DeGrado
H. F.  DeLuca
Joseph L.  DeRisi
David  DeRosier
Raymond J.  Deshaies
Theodor Otto  Diener
Kenneth A.  Dill
Jack E.  Dixon
Russell F.  Doolittle
Jennifer A.  Doudna Cate
Gideon  Dreyfuss
William Allen  Eaton
David  Eisenberg
Sarah C.R.  Elgin
Stephen  Elledge
Elliot Lawrence  Elson
Donald Max  Engelman
Solomon Walter  Englander
Raymond Leo  Erikson
Ronald M.  Evans
Gary  Felsenfeld
Gerald R.  Fink
Edmond Henri  Fischer
Maurice  Fox
Joachim  Frank
Perry Allen  Frey
Carl  Frieden
Jeffrey M.  Friedman
E. Peter  Geiduschek
Martin Frank  Gellert
Walter  Gilbert
Alexander N.  Glazer
David VanNorman  Goeddel
Stephen P.  Goff
Lawrence Marshall  Gold
Irving H.  Goldberg
Daniel E.  Gottschling
Richard L.  Gourse
Carol W.  Greider
Jack D.  Griffith
Carol A.  Gross
Alan D.  Grossman
Guido  Guidotti
Christine  Guthrie
Benjamin D.  Hall
Douglas  Hanahan
Philip C.  Hanawalt
 Edward Everett Jr. Harlow
Stephen C.  Harrison
Robert  Haselkorn
Donald  Helinski
Wayne A.  Hendrickson
Tina M.  Henkin
Alan G.  Hinnebusch
Barry Hirsh  Honig
Wayne Lester  Hubbell
Frank M.  Huennekens
Donald Frederick  Hunt
Jerard  Hurwitz
Clyde A.  Hutchison III
Masayori  Inouye
Tyler E.  Jacks
Gerald F.  Joyce
Howard Ronald  Kaback
Armin Dale  Kaiser
Arthur  Karlin
Haig H. Jr. Kazazian
Thomas J. Jr. Kelly
Peter S.  Kim
Sung-Hou  Kim
Mary-Claire  King
Robert E.  Kingston
Karla  Kirkegaard
Nancy  Kleckner
Claude  Klee
Judith Pollock  Klinman
Brian K.  Kobilka
Richard  Kolodner
Eugene V.  Koonin
Douglas E.  Koshland
Stephen C.  Kowalczykowski
John  Kuriyan
Robert Andrew  Lamb
Alan M.  Lambowitz
Eric S.  Lander
Arthur  Landy
Philip  Leder
I. Robert  Lehman
Richard A.  Lerner
Michael  Levitt
Susan Lee  Lindquist
Stuart M.  Linn
David J.  Lipman
John T.  Lis
Harvey F.  Lodish
Sharon Rugel  Long
Richard Marc  Losick
Barbara W.  Low
Susan  Lowey
Thomas Peter  Maniatis
James L.  Manley
Lynne E.  Maquat
Kenneth J.  Marians
Michael A.  Marletta
Susan  Marqusee
Rowena Green  Matthews
William H.  McClain
Steven Lanier  McKnight
Sabeeha  Merchant
Matthew Stanley  Meselson
Kiyoshi  Mizuuchi
Paul Lawrence  Modrich
Peter Bartlett  Moore
Andrew W.  Murray
Frederick Carl  Neidhardt
Elizabeth Fondal  Neufeld
Baldomero M.  Olivera
Mary Jane  Osborn
Erin K.  O'Shea
Carl O.  Pabo
Richard Deforest  Palmiter
Arthur Beck  Pardee
Roy R.  Parker
Dinshaw J.  Patel
Nikola Panayot  Pavletich
Gregory A.  Petsko
Mark  Ptashne
Anna Marie  Pyle
Uttam L. RajBhandary
Linda Lea  Randall
Tom A.  Rapoport
M. Thomas  Record
Alfred Guillou  Redfield
Edward  Reich
Danny F.  Reinberg
Charles Clifton  Richardson
Jane S.  Richardson
Jeffrey W.  Roberts
Richard J.  Roberts
Bernard  Roizman
Michael George  Rossmann
Lucia B.  Rothman-Denes
Joan V.  Ruderman
William J.  Rutter
Aziz  Sancar
Robert T.  Sauer
Howard Kapnek  Schachman
Paul Reinhard  Schimmel
Brenda A.  Schulman
Edward M.  Scolnick
Phillip Allen  Sharp
Kevan M.  Shokat
Stewart  Shuman
Melvin I.  Simon
Larry  Simpson
Maxine Frank  Singer
Robert H.  Singer
Seymour Jonathan  Singer
Robert Louis  Sinsheimer
Anna Marie  Skalka
John Lee  Spudich
Thressa Campbell  Stadtman
Franklin William  Stahl
Joan Argetsinger  Steitz
Thomas Arthur  Steitz
Bruce William  Stillman
Gisela T.  Storz
Jack Leonard  Strominger
Robert M.  Stroud
Kevin  Struhl
Lubert  Stryer
F. William  Studier
Wesley Ian  Sundquist
Andrew G.  Szent-Györgyi
Jack W.  Szostak
Herbert  Tabor
Paul  Talalay
Susan S.  Taylor
Susumu  Tonegawa
Olke Cornelis  Uhlenbeck
P. Roy  Vagelos
George F.  Vande Woude
Kensal Edward  van Holde
Martha  Vaughan
J. Craig  Venter
Peter K.  Vogt
Peter Hans  von Hippel
Gerhard  Wagner
Graham C.  Walker
Christopher Thomas  Walsh
James C.  Wang
Jean Yin Jen  Wang
Robert H.  Waterston
James Dewey  Watson
Robert A.  Weinberg
Irving L.  Weissman
James A.  Wells
Marvin Pete  Wickens
Reed Brendon  Wickner
Sue Hengren  Wickner
William Tobey  Wickner
James R.  Williamson
Ian Andrew  Wilson
Thomas H.  Wilson
Ralph Stoner  Wolfe
Richard Vance  Wolfenden
William Barry  Wood
Jerry L.  Workman
Peter E.  Wright
Carl  Wu
Wei  Yang
Charles  Yanofsky
C. David  Allis
Victor  Ambros
David J.  Anderson
Kathryn Virginia  Anderson
Spyros  Artavanis-Tsakonas
Frederick M.  Ausubel
Utpal  Banerjee
Ben A.  Barres
Bonnie  Bartel
Bonnie Lynn  Bassler
Mary Catherine  Beckerle
Bruce A.  Beutler
John Michael  Bishop
Pamela J.  Bjorkman
Helen Margaret  Blau
Günter Klaus-Joachim  Blobel
Barry R.  Bloom
Kerry Steven  Bloom
Thomas  Blumenthal
Nancy  Bonini
John Tyler  Bonner
Gary G.  Borisy
David  Botstein
Daniel  Branton
Ralph Lawrence  Brinster
Marianne  Bronner
Donald David  Brown
Nancy L. R.  Bucher
Hugh John Forster  Cairns
Kathryn Lee  Calame
Mario R.  Capecchi
Marian B.  Carlson
Martin  Chalfie
Joanne  Chory
Don W.  Cleveland
Thomas W.  Cline
R. John  Collier
Peter  Cresswell
Tom  Curran
Mark M.  Davis
Igor Bert  Dawid
Pietro V.  De Camilli
Titia  de Lange
Ronald Anthony  DePinho
Edward M.  De Robertis
Chris Q.  Doe
William F.  Dove
David G.  Drubin
Susan K.  Dutcher
Joseph R.  Ecker
Robert N.  Eisenman
Michael B.  Elowitz
Scott David  Emr
Lynn W.  Enquist
Rochelle Easton  Esposito
Ray Franklin  Evert
Marilyn G.  Farquhar
Nina V.  Fedoroff
Susan S.  Ferro-Novick
Stanley  Fields
Andrew Z.  Fire
Uta  Francke
Scott E.  Fraser
Elaine V.  Fuchs
Margaret Tatnall  Fuller
Joseph Grafton  Gall
Donald Emil  Ganem
Alan  Garen
Lawrence I.  Gilbert
Alfred Goodman  Gilman
Alfred L.  Goldberg
Lawrence Steven  Goldstein
Ursula W.  Goodenough
Corey Scott  Goodman
Maxwell E.  Gottesman
Susan  Gottesman
Everett Peter  Greenberg
Iva S.  Greenwald
Shiv I.S.  Grewal
Paul R.  Gross
Mark Terry  Groudine
Michael  Grunstein
Leonard P.  Guarente
James E.  Haber
Jeffrey C.  Hall
Richard M.  Harland
Leland H.  Hartwell
R. Scott  Hawley
John E.  Heuser
Philip Andrew  Hieter
Brigid L. M.  Hogan
David S.  Hogness
Leroy Edward  Hood
Nancy  Hopkins
H. Robert  Horvitz
Peter Maxwell  Howley
Tony  Hunter
Richard Olding  Hynes
Kimishige  Ishizaka
Andre T.  Jagendorf
Alexander Dixon  Johnson
Mark  Johnston
Alexandra Leigh  Joyner
Fotis C.  Kafatos
Thomas C.  Kaufman
Kenneth J.  Kemphues
Cynthia J.  Kenyon
Stuart K.  Kim
Judith  Kimble
Charles  Kimmel
David Mark  Kingsley
Marc Wallace  Kirschner
Richard D.  Klausner
Thomas B.  Kornberg
Robert  Krumlauf
Louis M.  Kunkel
Thomas A.  Kunkel
Mitzi I.  Kuroda
Charles Hunt  Langley
Ruth  Lehmann
Leslie Anne  Leinwand
Michael  Levine
 Dan Leslie Jr. Lindsley
Dan  Littman
Trudy F.C.  Mackay
Terry  Magnuson
Anthony Peter  Mahowald
Philippa  Marrack
Gail Roberta  Martin
Joan  Massagué
Susan K.  McConnell
Frank P.  McCormick
Margaret J.  McFall-Ngai
William J.  McGinnis
Andrew P.  McMahon
Ira  Mellman
Craig Cameron  Mello
Douglas A.  Melton
Barbara Jean  Meyer
Elliot M.  Meyerowitz
Jeffrey H.  Miller
Beatrice  Mintz
Timothy J.  Mitchison
Randall T.  Moon
Richard I.  Morimoto
David Ledbetter  Nanney
W. James  Nelson
Eldon Henry  Newcomb
Hiroshi  Nikaido
Peter J.  Novick
Peter C.  Nowell
Roeland  Nusse
Ruth S.  Nussenzweig
Patrick H.  O'Farrell
Eric N.  Olson
George F.  Oster
David Conrad  Page
Peter  Palese
Mary Lou  Pardue
Sheldon  Penman
Norbert  Perrimon
Thomas D.  Petes
Suzanne Ruth  Pfeffer
Hidde L.  Ploegh
Thomas Dean  Pollard
Carol L.  Prives
Anjana  Rao
William S.  Reznikoff
Lynn Moorhead  Riddiford
Jasper  Rine
Robert G.  Roeder
Michael  Rosbash
