Abelson, John Norman '85
Adhya, Sankar L. '09
Adler, Julius '76
Agard, David A. '09
Alberts, Bruce Michael '78
Altman, Sidney '88
Altshuler, David Matthew '13
Ames, Bruce N. '70
Axel, Richard '83
Baker, David '09
Baker, Tania Ann '04
Baldwin, Robert Lesh '81
Baltimore, David '74
Bass, Brenda L. '07
Bax, Adriaan '02
Beachy, Philip '03
Beckwith, Jonathan Roger '86
Belfort, Marlene '94
Berg, Howard C. '85
Berger, James M. '12
Berger, Shelley L. '13
Berk, Arnold J. '98
Blackburn, Elizabeth '91
Block, Steven M. '00
Boeke, Jef D. '12
Botchan, Michael R. '06
Bourne, Henry Reid '92
Boyer, Herbert Wayne '79
Boyer, Paul Delos '68
Briggs, Winslow Russell '75
Brown, Gene M. '79
Brugge, Joan S. '00
*Bustamante, Carlos J. '15
Campbell, Allan McCulloch '71
Cantley, Lewis Clayton '99
Cantor, Charles R. '88
Carbon, John Anthony '86
Caruthers, Marvin Harry '94
Caspar, Donald L. D. '72
Cech, Thomas Robert '88
Chamberlin, Michael John '90
Clore, G. Marius '10
Cohen, Carolyn '80
Cohen, Fred E. '08
Cohen, Stanley '84
Cohen, Stanley Norman '78
Cohen, Seymour Stanley '63
Cohn, Melvin '80
Conaway, Joan W. '02
Conaway, Ronald C. '02
Coon, Minor Jesser '84
Court, Donald Lee '14
Craig, Elizabeth A. '00
Craig, Nancy L. '07
Croce, Carlo M. '10
Dahlberg, James E. '93
Darnell, Jr., James Edwin '73
Davie, Earl W. '87
Davies, David R. '85
DeGrado, William F. '98
DeLuca, H. F. '78
*DeRisi, Joseph L. '15
DeRosier, David '01
Deshaies, Raymond J. '11
Diener, Theodor Otto '78
Dill, Kenneth A. '14
Dixon, Jack E. '97
Doolittle, Russell F. '85
Doudna Cate, Jennifer A. '03
Dreyfuss, Gideon '05
Eaton, William Allen '97
Eisenberg, David '91
Elgin, Sarah C.R. '12
Elledge, Stephen '03
Elson, Elliot Lawrence '13
Engelman, Donald Max '04
Englander, Solomon Walter '06
Erikson, Raymond Leo '84
Evans, Ronald M. '97
Felsenfeld, Gary '81
Fink, Gerald R. '84
Fischer, Edmond Henri '72
Fox, Maurice '95
Frank, Joachim '06
Frey, Perry Allen '03
Frieden, Carl '04
Friedman, Jeffrey M. '13
Geiduschek, E. Peter '75
Gellert, Martin Frank '83
Gilbert, Walter '68
Glazer, Alexander N. '96
Goeddel, David VanNorman '94
Goff, Stephen P. '95
Gold, Lawrence Marshall '93
Goldberg, Irving H. '77
Gottschling, Daniel E. '10
Gourse, Richard L. '14
Greider, Carol W. '03
Griffith, Jack D. '05
Gross, Carol A. '92
Grossman, Alan D. '08
Guidotti, Guido '79
Guthrie, Christine '91
Hall, Benjamin D. '10
Hanahan, Douglas '07
Hanawalt, Philip C. '08
Harlow, Jr., Edward Everett '96
Harrison, Stephen C. '89
Haselkorn, Robert '87
Helinski, Donald '87
Hendrickson, Wayne A. '92
Henkin, Tina M. '09
Hinnebusch, Alan G. '09
Honig, Barry Hirsh '07
Hubbell, Wayne Lester '01
Huennekens, Frank M. '74
Hunt, Donald Frederick '14
Hurwitz, Jerard '68
Hutchison III, Clyde A. '98
Inouye, Masayori '86
Jacks, Tyler E. '12
Joyce, Gerald F. '12
Kaback, Howard Ronald '86
Kaiser, Armin Dale '70
Karlin, Arthur '94
Kazazian, Jr., Haig H. '07
Kelly, Jr., Thomas J. '89
Kim, Peter S. '08
Kim, Sung-Hou '94
King, Mary-Claire '99
Kingston, Robert E. '11
Kirkegaard, Karla '10
Kleckner, Nancy '91
Klee, Claude '95
Klinman, Judith Pollock '93
*Kobilka, Brian K. '15
Kolodner, Richard '08
Koonin, Eugene V. '13
Koshland, Douglas E. '00
Kowalczykowski, Stephen C. '05
Kuriyan, John '08
Lamb, Robert Andrew '07
Lambowitz, Alan M. '95
Lander, Eric S. '99
Landy, Arthur '94
Leder, Philip '81
Lehman, I. Robert '73
Lerner, Richard A. '00
Levitt, Michael '10
Lindquist, Susan Lee '96
Linn, Stuart M. '01
Lipman, David J. '08
Lis, John T. '13
Lodish, Harvey F. '99
Long, Sharon Rugel '94
Losick, Richard Marc '96
Low, Barbara W. '53
Lowey, Susan '90
Maniatis, Thomas Peter '85
Manley, James L. '06
Maquat, Lynne E. '06
*Marians, Kenneth J. '15
Marletta, Michael A. '01
Marqusee, Susan '13
Matthews, Rowena Green '05
McClain, William H. '94
McKnight, Steven Lanier '92
Merchant, Sabeeha '14
Meselson, Matthew Stanley '62
Mizuuchi, Kiyoshi '92
Modrich, Paul Lawrence '04
Moore, Peter Bartlett '03
Murray, Andrew W. '00
Neidhardt, Frederick Carl '96
Neufeld, Elizabeth Fondal '77
Olivera, Baldomero M. '07
Osborn, Mary Jane '77
O'Shea, Erin K. '04
Pabo, Carl O. '93
Palmiter, Richard Deforest '88
Pardee, Arthur Beck '63
Parker, Roy R. '10
Patel, Dinshaw J. '14
Pavletich, Nikola Panayot '14
Petsko, Gregory A. '02
Ptashne, Mark '77
Pyle, Anna Marie '05
RajBhandary, Uttam, L. '91
Randall, Linda Lea '04
Rapoport, Tom A. '05
Record, M. Thomas '07
Redfield, Alfred Guillou '83
Reich, Edward '75
Reinberg, Danny F. '12
Richardson, Charles Clifton '75
Richardson, Jane S. '91
Roberts, Jeffrey W. '95
Roberts, Richard J. '97
Roizman, Bernard '91
Rossmann, Michael George '78
Rothman-Denes, Lucia B. '01
Ruderman, Joan V. '91
Rutter, William J. '87
Sancar, Aziz '04
Sauer, Robert T. '93
Schachman, Howard Kapnek '66
Schimmel, Paul Reinhard '87
Schulman, Brenda A. '12
Scolnick, Edward M. '93
Sharp, Phillip Allen '83
Shokat, Kevan M. '11
*Shuman, Stewart '15
Simon, Melvin I. '87
Simpson, Larry '12
Singer, Maxine Frank '78
Singer, Robert H. '09
Singer, Seymour Jonathan '71
Sinsheimer, Robert Louis '65
Skalka, Anna Marie '94
Spudich, John Lee '07
Stadtman, Thressa Campbell '82
Stahl, Franklin William '82
Steitz, Joan Argetsinger '82
Steitz, Thomas Arthur '90
Stillman, Bruce William '08
Storz, Gisela T. '11
Strominger, Jack Leonard '67
Stroud, Robert M. '07
Struhl, Kevin '08
Stryer, Lubert '75
Studier, F. William '90
Sundquist, Wesley Ian '11
Szent-Györgyi, Andrew G. '75
Szostak, Jack W. '99
Tabor, Herbert '71
Talalay, Paul '69
Taylor, Susan S. '92
Tonegawa, Susumu '84
Uhlenbeck, Olke Cornelis '93
Vagelos, P. Roy '72
Vande Woude, George F. '06
van Holde, Kensal Edward '96
Vaughan, Martha '91
Venter, J. Craig '01
Vogt, Peter K. '05
von Hippel, Peter Hans '79
*Wagner, Gerhard '15
