Mary Roach
Jill Bolte Taylor
Dan Pink
Pamela Meyer
Shawn Achor
David Gallo
Dan Gilbert
Helen Fisher
Stephen Hawking
Russell Foster
Alexander Tsiaras
Jane McGonigal
Michael Shermer
Beau Lotto
Jack Andraka
Dan Ariely
Ron Gutman
Joshua Foer
Judson Brewer
Helen Fisher
Richard Dawkins
Greg Gage
William Li
Temple Grandin
Martin Seligman
Bill Gates
Brian Greene
Vilayanur Ramachandran
Paul Stamets
Steven Johnson
Diane Kelly
Daniel Kahneman
Jeff Iliff
Frans de Waal
Al Gore
Sandrine Thuret
Aubrey de Grey
Taylor Wilson
Brian Cox
Sam Harris
Elizabeth Loftus
Juan Enriquez
Brian Greene
Dan Buettner
Rebecca Saxe
Kamal Meattle
Matt Mills
Tamara Roukaerts
Bill Gates
Richard Dawkins
Carolyn Porco
Dan Ariely
Jack Horner
Sebastian Thrun
Boaz Almog
Christopher McDougall
James Randi
Randall Munroe
Ray Kurzweil
Patricia Kuhl
Michael Shermer
Marla Spivak
Ramsey Musallam
Genevieve von Petzinger
Clifford Stoll
Sophie Scott
Ben Goldacre
Dean Ornish
Eric Giler
Bonnie Bassler
Donald Hoffman
Ben Goldacre
Martin Rees
Wendy Chung
Phil Plait
Sarah-Jayne Blakemore
Alex Wissner-Gross
Peter Doolittle
Joi Ito
Paul Bloom
Harry Cliff
Dennis Hong
Melissa Marshall
John Hodgman
Vilayanur Ramachandran
Tali Sharot
Nick Veasey
Jessa Gamble
Juan Enriquez
Steven Pinker
Jocelyne Bloch
Emily Levine
Jim Fallon
Christopher Emdin
Michael Specter
Latif Nasser
Fabian Oefner
Stuart Firestein
Carl Safina
Janine Benyus
Elliot Krane
Marco Tempest
Daniel Wolpert
Anthony Atala
David Gruber
Danielle Feinberg
Al Gore
David Bolinsky
Carter Emmart
