Novak Djokovic
Andy Murray
Roger Federer
Rafael Nadal
Stan Wawrinka
Kei Nishikori
Dominic Thiem
Tomas Berdych
Milos Raonic
Richard Gasquet
David Goffin
Jo-Wilfried Tsonga
Marin Cilic
David Ferrer
Gael Monfils
Roberto Bautista Agut
John Isner
Gilles Simon
Nick Kyrgios
Kevin Anderson
Viktor Troicki
Feliciano Lopez
Bernard Tomic
Benoit Paire
Pablo Cuevas
Philipp Kohlschreiber
Jack Sock
Ivo Karlovic
Lucas Pouille
Joao Sousa
Alexandr Dolgopolov
Albert Ramos-Vinolas
Jeremy Chardy
Fabio Fognini
Federico Delbonis
Grigor Dimitrov
Sam Querrey
Alexander Zverev
Steve Johnson
Andreas Seppi
Marcos Baghdatis
Andrey Kuznetsov
Pablo Carreno Busta
Gilles Muller
Marcel Granollers
Vasek Pospisil
Nicolas Almagro
Borna Coric
Nicolas Mahut
Guido Pella
Serena Williams
Garbine Muguruza
Agnieszka Radwanska
Angelique Kerber
Simona Halep
Victoria Azarenka
Roberta Vinci
Belinda Bencic
Venus Williams
Timea Bacsinszky
Petra Kvitova
Svetlana Kuznetsova
Flavia Pennetta
Samantha Stosur
Carla Suarez Navarro
Madison Keys
Karolina Pliskova
Johanna Konta
Elina Svitolina
Sloane Stephens
Dominika Cibulkova
Sara Errani
Anastasia Pavlyuchenkova
Jelena Jankovic
Ana Ivanovic
Maria Sharapova
Kiki Bertens
Irina-Camelia Begu
Lucie Safarova
Barbora Strycova
Daria Kasatkina
Kristina Mladenovic
Andrea Petkovic
Caroline Wozniacki
Yulia Putintseva
Ekaterina Makarova
Monica Niculescu
Caroline Garcia
Jelena Ostapenko
Anna Karolina Schmiedlova
Annika Beck
Laura Siegemund
Coco Vandeweghe
Lesia Tsurenko
Timea Babos
Eugenie Bouchard
Camila Giorgi
Misaki Doi
Monica Puig
Yanina Wickmayer
