 Serena Williams
 Garbine Muguruza
 Agnieszka Radwanska
 Angelique Kerber
 Simona Halep
 Victoria Azarenka
 Roberta Vinci
 Belinda Bencic
 Venus Williams
 Timea Bacsinszky
 Petra Kvitova
 Svetlana Kuznetsova
 Flavia Pennetta
 Samantha Stosur
 Carla SuÃ¡rez Navarro
 Madison Keys
 Karolina Pliskova
 Johanna Konta
 Elina Svitolina
 Sloane Stephens
 Dominika Cibulkova
 Sara Errani
 Anastasia Pavlyuchenkova
 Jelena Jankovic
 Ana Ivanovic
 Maria Sharapova
 Kiki Bertens
 Irina-Camelia Begu
 Lucie Safarova
 Barbora Strycova
 Daria Kasatkina
 Kristina Mladenovic
 Andrea Petkovic
 Caroline Wozniacki
 Yulia Putintseva
 Ekaterina Makarova
 Monica Niculescu
 Caroline Garcia
 Jelena Ostapenko
 Anna Karolina Schmiedlova
 Annika Beck
 Laura Siegemund
 Coco Vandeweghe
 Lesia Tsurenko
 Timea Babos
 Eugenie Bouchard
 Camila Giorgi
 Misaki Doi
 Monica Puig
 Yanina Wickmayer
